SKU,Style,StyleDesc,ColorDesc,Sizerun,Pairs,是否选款
FU100260A,FU100260A,FEIYUE DRAWSTRING BAG BLACK,BLACK,M000,1048,不选
FU100115W-M080,FU100115W,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M080,607,不选
FU100147M-M090,FU100147M,FELO1920 NVY CVS/BLUE/RED,NAVY/BLUE/RED,M090,520,不选
FU100147M-M100,FU100147M,FELO1920 NVY CVS/BLUE/RED,NAVY/BLUE/RED,M100,497,不选
FU100115W-M070,FU100115W,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M070,483,不选
FU100167W-M070,FU100167W,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M070,448,不选
FU100167W-M080,FU100167W,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M080,405,不选
FK100031C-M030,FK100031C,FELO1920 KIDS EL WHT/BLU/RED,WHITE/BLUE/RED,M030,400,不选
FK100031C-M020,FK100031C,FELO1920 KIDS EL WHT/BLU/RED,WHITE/BLUE/RED,M020,367,不选
FU100115W-M060,FU100115W,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M060,332,不选
FU100115W-M090,FU100115W,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M090,328,不选
FK100031C-M010,FK100031C,FELO1920 KIDS EL WHT/BLU/RED,WHITE/BLUE/RED,M010,315,不选
FU100165M-M090,FU100165M,FELO1920 BK TMBLD/BLK LOGO/WHT,BLACK/WHITE,M090,289,不选
FK100031C-M130,FK100031C,FELO1920 KIDS EL WHT/BLU/RED,WHITE/BLUE/RED,M130,274,不选
FU100207U-M100,FU100207U,FE LO 1920 SLIP ON BLACK/WHITE,BLACK/WHITE,M100,236,不选
FU100146W-M070,FU100146W,FELO1920 IVRY CVS/BLUE/RED CHV,IVORY/BLUE/RED,M070,197,不选
FU100201U-M100,FU100201U,FE LO 1920 WHIT/NAVY CVS,WHITE/NAVY,M100,191,不选
FU100167W-M060,FU100167W,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M060,180,不选
FK100031C-M120,FK100031C,FELO1920 KIDS EL WHT/BLU/RED,WHITE/BLUE/RED,M120,170,不选
FU100115W-M100,FU100115W,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M100,169,不选
FU100201U-M090,FU100201U,FE LO 1920 WHIT/NAVY CVS,WHITE/NAVY,M090,159,不选
FU100146W-M060,FU100146W,FELO1920 IVRY CVS/BLUE/RED CHV,IVORY/BLUE/RED,M060,148,不选
FU100207U-M120,FU100207U,FE LO 1920 SLIP ON BLACK/WHITE,BLACK/WHITE,M120,128,不选
FK100028C-M030,FK100028C,FELO1920 KID EL RED/BLU/RD CHV,RED/BLUE/RED,M030,125,不选
FU100187M-M130,FU100187M,FE MID 1920 IVORY,IVORY,M130,121,不选
FK100031C-M110,FK100031C,FELO1920 KIDS EL WHT/BLU/RED,WHITE/BLUE/RED,M110,119,不选
FU100206U-M130,FU100206U,FE LO 1920 SLIP ON OFF WHITE,OFF WHITE,M130,116,不选
FU100228U-M080,FU100228U,FE LO AV BLACK/IVORY CANVAS,BLACK/IVORY,M080,116,不选
FU100206U-M120,FU100206U,FE LO 1920 SLIP ON OFF WHITE,OFF WHITE,M120,108,不选
FU100207U-M090,FU100207U,FE LO 1920 SLIP ON BLACK/WHITE,BLACK/WHITE,M090,107,不选
FU100206U-M100,FU100206U,FE LO 1920 SLIP ON OFF WHITE,OFF WHITE,M100,96,不选
FE02021001-M080,FE02021001,FELO1920 PWRLFT BK/RD/NMBCD/GM,BLACK/RD/NIMBUSCLD/GUM,M080,90,不选
FU100256U-M080,FU100256U,FELO 1920 RF BNE WH/WW/GM,BONE/WHISPER WH/GUM,M080,90,不选
FU100228U-M100,FU100228U,FE LO AV BLACK/IVORY CANVAS,BLACK/IVORY,M100,82,不选
FU100206U-M140,FU100206U,FE LO 1920 SLIP ON OFF WHITE,OFF WHITE,M140,74,不选
