SKU,Style,StyleDesc,ColorDesc,Sizerun,Pairs(物理),整年要求(实际搬仓),是否选款
FU100097M-M100,FU100097M,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M100,2308,283,是
FU100096M-M090,FU100096M,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M090,2259,148,是
FU100097M-M090,FU100097M,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M090,2238,208,是
FU100096M-M100,FU100096M,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M100,2017,201,是
FU100097M-M080,FU100097M,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M080,1302,129,是
FU100097M-M120,FU100097M,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M120,1272,198,是
FU100096W-M080,FU100096W,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M080,1203,29,是
FU100097W-M080,FU100097W,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M080,1149,26,是
FU100096W-M070,FU100096W,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M070,1148,35,是
FU100148M-M100,FU100148M,FE LO 1920 RE CVS/BLU/RED CHV,RED/BLUE/RED,M100,1124,78,是
FU100146M-M090,FU100146M,FELO1920 IVRY CVS/BLUE/RED CHV,IVORY/BLUE/RED,M090,1100,98,是
FU100096M-M120,FU100096M,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M120,1031,141,是
FU100096M-M080,FU100096M,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M080,1009,91,是
FU100115M-M090,FU100115M,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M090,826,123,是
FU100097W-M070,FU100097W,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M070,798,32,是
FU100148M-M090,FU100148M,FE LO 1920 RE CVS/BLU/RED CHV,RED/BLUE/RED,M090,797,57,是
FU100167M-M100,FU100167M,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M100,791,165,是
FU100116M-M090,FU100116M,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M090,775,190,是
FU100115M-M100,FU100115M,FE MID 1920 WHITE CVS/BLUE/RED,WHITE/BLUE/RED,M100,750,167,是
FU100096W-M060,FU100096W,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M060,700,35,是
FU100116M-M100,FU100116M,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M100,690,258,是
FU100096M-M110,FU100096M,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M110,656,253,是
FU100167M-M090,FU100167M,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M090,581,122,是
FU100177W-M080,FU100177W,FE LO 1920 BLACK CVS/BLACK,BLACK/BLACK,M080,572,259,是
FU100116W-M080,FU100116W,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M080,554,20,是
FU100097M-M070,FU100097M,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M070,545,158,是
FU100146M-M120,FU100146M,FELO1920 IVRY CVS/BLUE/RED CHV,IVORY/BLUE/RED,M120,541,93,是
FU100146M-M080,FU100146M,FELO1920 IVRY CVS/BLUE/RED CHV,IVORY/BLUE/RED,M080,516,60,是
FU100167M-M120,FU100167M,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M120,493,116,是
FU100167M-M110,FU100167M,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M110,450,208,是
FU100096M-M130,FU100096M,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M130,410,79,是
